0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.890442086878185734e-04,1.781243003396841776e-05,-5.580786489852862390e-04,4.812224518413667392e-04,-1.423668712567480339e-04,5.904376710995084149e-05
-5.654933115303128598e-04,1.803206403633898861e-05,-1.563527097711900956e-03,1.330650751621844470e-03,-4.142195371771386129e-04,1.459342249970808783e-04
-1.127699268922573465e-03,-2.671349955296788018e-05,-2.930077998952793430e-03,2.458928761534952268e-03,-8.036748631998625984e-04,2.586326375536220513e-04
-1.873998016210192460e-03,-1.375179525708080178e-04,-4.590550109436663390e-03,3.797244396542682338e-03,-1.299749241219226017e-03,3.897429083891576192e-04
-2.802704017058387734e-03,-3.306145305021600126e-04,-6.492492285831941330e-03,5.292072444854460656e-03,-1.892271834402036671e-03,5.350834057864866603e-04
-3.912107155012480887e-03,-6.184584288376576656e-04,-8.594866175679777634e-03,6.901855497806860112e-03,-2.571809149397601916e-03,6.910192753104950694e-04
-5.200470636838259650e-03,-1.010568975026749760e-03,-1.086546377399689144e-02,8.594238611938340849e-03,-3.329598154188254631e-03,8.548490629397146115e-04
-6.666029604419643206e-03,-1.514180572073424392e-03,-1.327891218831257075e-02,1.034398252607220126e-02,-4.157486691182577486e-03,1.024457530713152129e-03
-8.306990187244452789e-03,-2.134747002104931454e-03,-1.581512807888323102e-02,1.213133639821380172e-02,-5.047880085267643889e-03,1.198217215669736962e-03
-1.012152888456000974e-02,-2.876331866878837143e-03,-1.845812139919275618e-02,1.394078358489489466e-02,-5.993693159562886799e-03,1.374867330777348757e-03
-1.210779221317977855e-02,-3.741910990940770614e-03,-2.119506914807806758e-02,1.576007157563888775e-02,-6.988307019992186751e-03,1.553431898697102062e-03
-1.426389658957580991e-02,-4.733606651444355502e-03,-2.401559820058458278e-02,1.757946304386142841e-02,-8.025530087295770776e-03,1.733153316479079786e-03
-1.658792842780950488e-02,-5.852869037485068995e-03,-2.691122995739914092e-02,1.939115769424613542e-02,-9.099562934739093695e-03,1.913441816672631747e-03
-1.907794444064354888e-02,-7.100616849786513425e-03,-2.987495027395060954e-02,2.118884635940453121e-02,-1.020496655039116775e-02,2.093836199526988209e-03
-2.173197213269010067e-02,-8.477346260378451626e-03,-3.290087638925743435e-02,2.296736740578233030e-02,-1.133663368969945601e-02,2.273973566471507602e-03
-2.454801047427323385e-02,-9.983215366960670328e-03,-3.598399897493711336e-02,2.472244230503945969e-02,-1.248976302201849561e-02,2.453565950524319410e-03
-2.752403074387802656e-02,-1.161810966426906656e-02,-3.911998237454963889e-02,2.645047245221464685e-02,-1.365983580630429108e-02,2.632382305283596530e-03
-3.065797752620599489e-02,-1.338169280707922522e-02,-4.230500993395424486e-02,2.814838336511352179e-02,-1.484259485808751659e-02,2.810234637371171896e-03
-3.394776985218907195e-02,-1.527344597421808128e-02,-4.553566428688873152e-02,2.981350553348437182e-02,-1.603402559316600279e-02,2.986967347945954261e-03
-3.739130246690863107e-02,-1.729269839614240231e-02,-4.880883475281824063e-02,3.144348361237907230e-02,-1.723033895394028917e-02,3.162449058294400459e-03
-4.098644721121919021e-02,-1.943865103087532090e-02,-5.212164577785603076e-02,3.303620753088667289e-02,-1.842795604245967347e-02,3.336566358722136208e-03
-4.473105450295286611e-02,-2.171039492611628874e-02,-5.547140172163769062e-02,3.458976053949839452e-02,-1.962349430041656836e-02,3.509219046524471829e-03
-4.862295490383582164e-02,-2.410692545956036326e-02,-5.885554435427645115e-02,3.610238034269406399e-02,-2.081375509080115802e-02,3.680316516901767799e-03
-5.265996075863860204e-02,-2.662715338197550047e-02,-6.227162024825499964e-02,3.757243033230089901e-02,-2.199571254892524266e-02,3.849775046548555100e-03
-5.683986789357129560e-02,-2.926991338066693704e-02,-6.571725588473596724e-02,3.899837860931464062e-02,-2.316650358222126574e-02,4.017515768352269978e-03
-6.116045736149196971e-02,-3.203397072088935010e-02,-6.919013878441862553e-02,4.037878300173901314e-02,-2.432341890876935087e-02,4.183463181053362519e-03
-6.561949722210012881e-02,-3.491802639893527849e-02,-7.268800335232865339e-02,4.171228068806911993e-02,-2.546389503402844354e-02,4.347544072852603352e-03
-7.021474434591809533e-02,-3.792072114481845335e-02,-7.620862041902853878e-02,4.299758134700180229e-02,-2.658550707385796616e-02,4.509686765129286047e-03
-7.494394623151107160e-02,-4.104063853832683878e-02,-7.974978968720325412e-02,4.423346299444957247e-02,-2.768596233970976525e-02,4.669820603457022073e-03
-7.980484282605046498e-02,-4.427630744482432407e-02,-8.330933446751725979e-02,4.541876985494491814e-02,-2.876309460893215764e-02,4.827875639366009490e-03
-8.479516833998046454e-02,-4.762620393272645747e-02,-8.688509822274785577e-02,4.655241175841203644e-02,-2.981485900953357443e-02,4.983782458880777963e-03
-8.991265304719947560e-02,-5.108875280012055431e-02,-9.047494254352543563e-02,4.763336466462220892e-02,-3.083932745457037064e-02,5.137472123595276073e-03
-9.515502506281268980e-02,-5.466232881126605742e-02,-9.407674625955511627e-02,4.866067200383823732e-02,-3.183468456661166929e-02,5.288876197578735137e-03
-1.005200120911488998e-01,-5.834525772293557011e-02,-9.768840545237492123e-02,4.963344658892106243e-02,-3.279922403754786941e-02,5.437926839235533542e-03
-1.060053431373606664e-01,-6.213581716437768798e-02,-1.013078341837172908e-01,5.055087290594754285e-02,-3.373134537339678163e-02,5.584556941756945066e-03
-1.116087501765423012e-01,-6.603223742204640534e-02,-1.049329657906259428e-01,5.141220963060068316e-02,-3.462955097776670293e-02,5.728700309301073233e-03
-1.173279697749027711e-01,-7.003270217033366607e-02,-1.085617546271507999e-01,5.221679224889179405e-02,-3.549244353129744206e-02,5.870291858750614593e-03
-1.231607446581207965e-01,-7.413534918173247945e-02,-1.121921781546402069e-01,5.296403568520950678e-02,-3.631872362775517143e-02,6.009267839005193873e-03
-1.291048252225850679e-01,-7.833827104366204719e-02,-1.158222392998748823e-01,5.365343685984624855e-02,-3.710718763053644231e-02,6.145566061403975530e-03
-1.351579709857836098e-01,-8.263951590422810578e-02,-1.194499690137024450e-01,5.428457711325342799e-02,-3.785672571617024890e-02,6.279126136151982375e-03
-1.413179519726518174e-01,-8.703708826518374853e-02,-1.230734289733316084e-01,5.485712444626782147e-02,-3.856632007402104045e-02,6.409889710622520241e-03
-1.475825500352166419e-01,-9.152894983707328402e-02,-1.266907143797245117e-01,5.537083553516181783e-02,-3.923504323381393072e-02,6.537800706192108992e-03
-1.539495601033855354e-01,-9.611302046881672889e-02,-1.302999568081179005e-01,5.582555748816141888e-02,-3.986205649484754476e-02,6.662805550882573875e-03
-1.604167913652190525e-01,-1.007871791616924001e-01,-1.338993270750190867e-01,5.622122931648063787e-02,-4.044660843284965390e-02,6.784853405575453841e-03
-1.669820683754983659e-01,-1.055492651757007350e-01,-1.374870380893781219e-01,5.655788309826914606e-02,-4.098803346238308332e-02,6.903896381955961295e-03
-1.736432320918465666e-01,-1.103970792345684987e-01,-1.410613476592733895e-01,5.683564481841683197e-02,-4.148575043454046790e-02,7.019889750659966121e-03
-1.803981408380900819e-01,-1.153283848341224854e-01,-1.446205612285497710e-01,5.705473487109543468e-02,-4.193926125138972005e-02,7.132792138355294881e-03
-1.872446711949476428e-01,-1.203409096573812981e-01,-1.481630345205538490e-01,5.721546821539067601e-02,-4.234814948026059678e-02,7.242565712701407726e-03
-1.941807188185105670e-01,-1.254323470984538835e-01,-1.516871760685273851e-01,5.731825417749698837e-02,-4.271207895250656722e-02,7.349176354309598820e-03
-2.012041991873267099e-01,-1.306003578961697220e-01,-1.551914496144235489e-01,5.736359589579263785e-02,-4.303079233284578392e-02,7.452593814977090565e-03
-2.083130482792204807e-01,-1.358425718772821866e-01,-1.586743763599597901e-01,5.735208940774450675e-02,-4.330410964678775565e-02,7.552791861598932496e-03
-2.155052231792722872e-01,-1.411565898080731352e-01,-1.621345370556560861e-01,5.728442238005215792e-02,-4.353192675499537728e-02,7.649748405276000744e-03
-2.227787026206383136e-01,-1.465399853522353912e-01,-1.655705739154582357e-01,5.716137248575864360e-02,-4.371421376472217624e-02,7.743445615239303789e-03
-2.301314874601185778e-01,-1.519903071320161947e-01,-1.689811923463305499e-01,5.698380543425084904e-02,-4.385101336970507330e-02,7.833870017302816888e-03
-2.375616010905731434e-01,-1.575050808887668852e-01,-1.723651624839335206e-01,5.675267266215616030e-02,-4.394243911108926259e-02,7.921012576641354302e-03
-2.450670897924423497e-01,-1.630818117382618615e-01,-1.757213205271870859e-01,5.646900869512184312e-02,-4.398867355311575356e-02,8.004868764767971226e-03
-2.526460230267478235e-01,-1.687179865154221636e-01,-1.790485698661606617e-01,5.613392819233979647e-02,-4.398996636841660812e-02,8.085438610658420011e-03
-2.602964936720332800e-01,-1.744110762024085048e-01,-1.823458819993266089e-01,5.574862268745187088e-02,-4.394663232883910808e-02,8.162726736038839609e-03
-2.680166182077474701e-01,-1.801585384334354334e-01,-1.856122972377647062e-01,5.531435704113631113e-02,-4.385904919875929092e-02,8.236742374918016793e-03
-2.758045368465760205e-01,-1.859578200691049676e-01,-1.888469251954038863e-01,5.483246562222983400e-02,-4.372765552884748386e-02,8.307499377507498659e-03
-2.836584136181913851e-01,-1.918063598325654429e-01,-1.920489450658343089e-01,5.430434823567756308e-02,-4.355294834921433905e-02,8.375016198731830355e-03
-2.915764364068127446e-01,-1.977015909993706244e-01,-1.952176056876091803e-01,5.373146581691878171e-02,-4.333548076179417896e-02,8.439315871587431753e-03
-2.995568169448464269e-01,-2.036409441325466307e-01,-1.983522254012810293e-01,5.311533591350631883e-02,-4.307585943271411560e-02,8.500425965662111727e-03
