Step	Value
204	3.49844622612
408	5.97951030731201
612	6.48700714111328
816	7.51737022399902
1020	8.51278114318848
1224	9.25033664703369
1428	10.1215209960938
1632	11.2244958877563
1836	11.8028802871704
2040	11.7667579650879
2244	12.1677665710449
2448	12.0018644332886
2652	12.2946681976318
2856	12.3943557739258
3060	12.5651512145996
3264	12.8032865524292
3468	12.2844562530518
3672	12.2361145019531
3876	12.5723114013672
4080	12.4756908416748
4284	12.5243091583252
4488	12.6698703765869
4692	12.7323379516602
4896	12.7182817459106
5100	12.5541677474976
5304	12.8683652877808
5508	12.8395252227783
5712	12.9511775970459
5916	12.8706855773926
6120	12.7333755493164
6324	12.6842985153198
6528	12.4658555984497
6732	12.1342744827271
6936	11.9954261779785
7140	11.993579864502
7344	11.7373514175415
7548	11.8298950195313
7752	11.6250791549683
7956	11.599835395813
8160	11.5463199615479
8364	11.7059545516968
8568	12.4153537750244
8772	12.7396688461304
8976	12.7102451324463
9180	12.9782238006592
9384	13.1804246902466
9588	13.3343820571899
9792	13.3889293670654
9996	13.6133584976196
10200	13.9819889068604
10404	14.1533823013306
10608	14.4807262420654
10812	14.4698305130005
11016	14.4819068908691
11220	14.8148803710938
11424	14.9585933685303
11628	15.1447763442993
11832	14.9681453704834
12036	14.8599767684937
12240	15.0285425186157
12444	15.2988376617432
12648	15.4162540435791
12852	15.6230344772339
13056	15.7243051528931
13260	15.8084354400635
13464	15.6789388656616
13668	15.4503736495972
13872	15.3247556686401
14076	15.3080501556396
14280	15.2977676391602
14484	15.2959518432617
14688	15.1837034225464
14892	15.2705497741699
15096	15.2580900192261
15300	15.2729482650757
15504	15.369010925293
15708	15.3888339996338
15912	15.7174386978149
16116	16.0934028625488
16320	16.0678005218506
16524	16.1959705352783
16728	16.432674407959
16932	16.8636112213135
17136	17.2283782958984
17340	17.2687702178955
17544	17.247184753418
17748	17.3668251037598
17952	17.4730072021484
18156	17.6236724853516
18360	17.7350902557373
