Step	Value
1224	3.32413601875305
2448	3.23317217826843
3672	3.11963200569153
4896	3.3198356628418
6120	3.31772661209106
7344	3.34643363952637
8568	3.40271997451782
9792	3.36466383934021
11016	3.4668607711792
12240	3.51102709770203
13464	3.57096815109253
14688	3.33878374099731
15912	3.1393940448761
17136	3.05675315856934
18360	3.10761475563049
19584	3.10423970222473
20808	3.30569911003113
22032	3.37180256843567
23256	3.39965081214905
24480	3.37574124336243
25704	3.31843256950378
26928	3.20874881744385
28152	3.0807900428772
29376	3.16136312484741
30600	3.32499814033508
31824	3.53734445571899
33048	3.88032579421997
34272	3.87283706665039
35496	3.69592213630676
36720	3.45567345619202
37944	3.2153754234314
39168	3.40873599052429
40392	3.41437649726868
41616	3.52461957931519
42840	3.37797498703003
44064	3.23580837249756
45288	3.39086031913757
46512	3.35603952407837
47736	3.53478503227234
48960	3.38302183151245
50184	3.30904388427734
51408	3.3258261680603
52632	3.327073097229
53856	3.39860606193542
55080	3.4129626750946
56304	3.43752312660217
57528	3.25166988372803
58752	3.21768522262573
59976	3.07601881027222
61200	3.1428370475769
62424	3.20107507705688
63648	3.32160091400146
64872	3.32500171661377
66096	3.33247137069702
67320	3.17309474945068
68544	3.14464592933655
69768	3.23445653915405
70992	3.41400265693665
72216	3.55694890022278
73440	3.55399560928345
74664	3.48272609710693
75888	3.45194315910339
77112	3.41172933578491
78336	3.37545442581177
79560	3.3999490737915
80784	3.42416501045227
82008	3.52717471122742
83232	3.57631683349609
84456	3.6282799243927
85680	3.64274859428406
86904	3.59987592697144
88128	3.58735370635986
89352	3.64183568954468
90576	3.56749534606934
91800	3.58980393409729
93024	3.50807690620422
94248	3.4417872428894
95472	3.39424133300781
96696	3.33750367164612
97920	3.39234399795532
99144	3.28410410881042
100368	3.26436638832092
101592	3.22812676429749
102816	3.35961222648621
104040	3.46323323249817
105264	3.56244874000549
106488	3.65542054176331
107712	3.55404210090637
108936	3.60239243507385
110160	3.486403465271
111384	3.35222315788269
112608	3.48217630386353
113832	3.65296673774719
115056	3.71719479560852
116280	3.73700547218323
117504	3.67847537994385
118728	3.27884840965271
119952	3.26159644126892
121176	3.20874643325806
122400	3.34992098808289
123624	3.52231097221375
124848	3.54253363609314
126072	3.56877160072327
127296	3.50521421432495
128520	3.23788619041443
129744	3.2870602607727
130968	3.29308938980103
132192	3.23537564277649
133416	3.58559155464172
134640	3.67478251457214
135864	3.78340649604797
137088	3.68040585517883
138312	3.44712591171265
139536	3.36790132522583
140760	3.44410037994385
141984	3.56278657913208
143208	3.49798274040222
144432	3.59418511390686
145656	3.31132102012634
146880	3.31141424179077
148104	3.3541522026062
149328	3.17746925354004
150552	3.16408157348633
151776	3.31713080406189
153000	3.34576463699341
154224	3.36236548423767
155448	3.36637663841248
156672	3.27897477149963
157896	3.3152289390564
159120	3.46945548057556
160344	3.56470465660095
161568	3.57139921188354
162792	3.49877142906189
164016	3.4597761631012
165240	3.25517749786377
166464	3.10715007781982
167688	3.27086496353149
168912	3.13135266304016
170136	2.98844599723816
171360	3.15060019493103
172584	3.19557738304138
173808	3.40747880935669
175032	3.5856397151947
176256	3.53625178337097
177480	3.43457269668579
178704	3.62648892402649
179928	3.8200626373291
181152	3.72939944267273
182376	3.78341507911682
183600	3.50874018669128
184824	3.35154294967651
186048	3.2465386390686
187272	3.24222445487976
188496	3.20771193504333
189720	3.19744491577148
190944	3.37177515029907
192168	3.33937191963196
193392	3.29581451416016
194616	3.30591130256653
195840	3.45561623573303
197064	3.54976058006287
198288	3.670494556427
199512	3.71859455108643
