# time, ang_and_lin_err
0.000000000000000000e+00 3.161477855475847143e-01 4.474227532585932365e-02
0.000000000000000000e+00 3.161477855475847143e-01 4.474227532585932365e-02
1.000000000000000021e-02 3.161477855475847143e-01 4.474227532585932365e-02
1.000000000000000021e-02 3.161477855475847143e-01 4.474227532585932365e-02
2.000000000000000042e-02 3.161477855475847143e-01 4.474226517824490823e-02
2.000000000000000042e-02 3.161477855475847143e-01 4.474226517824490823e-02
2.999999999999999889e-02 3.095690619856446557e-01 4.473977734227469610e-02
2.999999999999999889e-02 3.095690619856446557e-01 4.473977734227469610e-02
4.000000000000000083e-02 3.021189378158353755e-01 4.472052005586223816e-02
4.000000000000000083e-02 3.021189378158353755e-01 4.472052005586223816e-02
5.000000000000000278e-02 2.945203290444674549e-01 4.468027563376337358e-02
5.000000000000000278e-02 2.945203290444674549e-01 4.468027563376337358e-02
6.000000000000000472e-02 2.868668580925201606e-01 4.461647026308739744e-02
6.000000000000000472e-02 2.868668580925201606e-01 4.461647026308739744e-02
7.000000000000000666e-02 2.791710717095759464e-01 4.452707030912742697e-02
7.000000000000000666e-02 2.791710717095759464e-01 4.452707030912742697e-02
8.000000000000000167e-02 2.714381578544604601e-01 4.441042692773000677e-02
8.000000000000000167e-02 2.714381578544604601e-01 4.441042692773000677e-02
8.999999999999999667e-02 2.636739546563396930e-01 4.426523844975446126e-02
8.999999999999999667e-02 2.636739546563396930e-01 4.426523844975446126e-02
9.999999999999999167e-02 2.558857378211673583e-01 4.409052981525098808e-02
9.999999999999999167e-02 2.558857378211673583e-01 4.409052981525098808e-02
1.099999999999999867e-01 2.480820554778912779e-01 4.388563444060029212e-02
1.099999999999999867e-01 2.480820554778912779e-01 4.388563444060029212e-02
1.199999999999999817e-01 2.402724651877569950e-01 4.365017672136808219e-02
1.199999999999999817e-01 2.402724651877569950e-01 4.365017672136808219e-02
1.299999999999999767e-01 2.324672809104169624e-01 4.338405486948231776e-02
1.299999999999999767e-01 2.324672809104169624e-01 4.338405486948231776e-02
1.399999999999999856e-01 2.246773422697529443e-01 4.308742397285828668e-02
1.399999999999999856e-01 2.246773422697529443e-01 4.308742397285828668e-02
1.499999999999999944e-01 2.169138060756332920e-01 4.276067918616143632e-02
